department_code,zip_code,name
1,1400,L'Abergement-Clémenciat
1,1640,L'Abergement-de-Varey
1,1500,Ambérieu-en-Bugey
1,1330,Ambérieux-en-Dombes
1,1300,Ambléon
1,1500,Ambronay
1,1500,Ambutrix
1,1300,Andert-et-Condon
1,1350,Anglefort
1,1100,Apremont
1,1110,Aranc
1,1230,Arandas
1,1100,Arbent
1,1300,Arboys en Bugey
1,1190,Arbigny
1,1230,Argis
1,1510,Armix
1,1480,Ars-sur-Formans
1,1510,Artemare
1,1570,Asnières-sur-Saône
1,1340,Attignat
1,1380,Bâgé-Dommartin
1,1380,Bâgé-le-Châtel
1,1360,Balan
1,1990,Baneins
1,1270,Beaupont
1,1480,Beauregard
1,1100,Bellignat
1,1360,Béligneux
1,1200,Bellegarde-sur-Valserine
1,1300,Belley
1,1130,Belleydoux
1,1260,Belmont-Luthézieu
1,1470,Bénonces
1,1370,Bény
1,1350,Béon
1,1340,Béréziat
1,1500,Bettant
1,1290,Bey
1,1700,Beynost
1,1200,Billiat
1,1330,Birieux
1,1290,Biziat
1,1150,Blyes
1,1120,La Boisse
1,1190,Boissey
1,1380,Boissey
1,1450,Bolozon
1,1330,Bouligneux
1,1000,Bourg-en-Bresse
1,1800,Bourg-Saint-Christophe
1,1640,Boyeux-Saint-Jérôme
1,1190,Boz
1,1300,Brégnier-Cordon
1,1260,Brénaz
1,1110,Brénod
1,1300,Brens
1,1360,Bressolles
1,1460,Brion
1,1470,Briord
1,1310,Buellas
1,1510,La Burbanche
1,1430,Ceignes
1,1450,Cerdon
1,1240,Certines
1,1170,Cessy
1,1250,Ceyzériat
1,1350,Ceyzérieu
1,1320,Chalamont
1,1480,Chaleins
1,1230,Chaley
1,1450,Challes-la-Montagne
1,1630,Challex
1,1260,Champagne-en-Valromey
1,1110,Champdor-Corcelles
1,1410,Champfromier
1,1420,Chanay
1,1990,Chaneins
1,1400,Chanoz-Châtenay
1,1240,La Chapelle-du-Châtelard
1,1130,Charix
1,1800,Charnoz-sur-Ain
1,1500,Château-Gaillard
1,1320,Châtenay
1,1200,Châtillon-en-Michaille
1,1320,Châtillon-la-Palud
1,1400,Châtillon-sur-Chalaronne
1,1190,Chavannes-sur-Reyssouze
1,1250,Nivigne et Suran
1,1660,Chaveyriat
1,1510,Chavornay
1,1300,Chazey-Bons
1,1510,Chazey-Bons
1,1150,Chazey-sur-Ain
1,1510,Cheignieu-la-Balme
1,1430,Chevillard
1,1190,Chevroux
1,1170,Chevry
1,1200,Chézery-Forens
1,1410,Chézery-Forens
1,1390,Civrieux
1,1250,Cize
1,1230,Cleyzieu
1,1270,Coligny
1,1550,Collonges
1,1300,Colomieu
1,1230,Conand
1,1430,Condamine
1,1400,Condeissiat
1,1200,Confort
1,1310,Confrançon
1,1300,Contrevoz
1,1300,Conzieu
1,1420,Corbonod
1,1110,Corlier
1,1110,Cormaranche-en-Bugey
1,1290,Cormoranche-sur-Saône
1,1560,Cormoz
1,1250,Corveissiat
1,1370,Courmangoux
1,1560,Courtes
1,1320,Crans
1,1340,Cras-sur-Reyssouze
1,1350,Cressin-Rochefort
1,1290,Crottet
1,1750,Crottet
1,1170,Crozet
1,1290,Cruzilles-lès-Mépillat
1,1350,Culoz
1,1560,Curciat-Dongalon
1,1310,Curtafond
1,1300,Cuzieu
1,1120,Dagneux
1,1220,Divonne-les-Bains
1,1240,Dompierre-sur-Veyle
1,1400,Dompierre-sur-Chalaronne
1,1270,Domsure
1,1590,Dortan
1,1500,Douvres
1,1250,Drom
1,1160,Druillat
1,1130,Échallon
1,1170,Échenevex
1,1340,Étrez
1,1230,Évosges
1,1800,Faramans
1,1480,Fareins
1,1550,Farges
1,1570,Feillens
1,1210,Ferney-Voltaire
1,1350,Flaxieu
1,1340,Foissiat
1,1090,Francheleins
1,1480,Frans
1,1140,Garnerans
1,1090,Genouilleux
1,1460,Béard-Géovreissiat
1,1100,Géovreisset
1,1170,Gex
1,1130,Giron
1,1190,Gorrevod
1,1250,Grand-Corent
1,1290,Grièges
1,1220,Grilly
1,1100,Groissiat
1,1090,Guéreins
1,1250,Hautecourt-Romanèche
1,1110,Hauteville-Lompnes
1,1110,Hostiaz
1,1260,Haut Valromey
1,1140,Illiat
1,1200,Injoux-Génissiat
1,1680,Innimond
1,1430,Izenave
1,1580,Izernore
1,1300,Izieu
1,1480,Jassans-Riottier
1,1250,Jasseron
1,1340,Jayat
1,1250,Journans
1,1800,Joyeux
1,1640,Jujurieux
1,1450,Labalme
1,1150,Lagnieu
1,1290,Laiz
1,1130,Le Poizat-Lalleyriat
1,1200,Lancrans
1,1430,Lantenay
1,1330,Lapeyrouse
1,1350,Lavours
1,1200,Léaz
1,1410,Lélex
1,1240,Lent
1,1560,Lescheroux
1,1150,Leyment
1,1450,Leyssard
1,1420,Lhôpital
1,1680,Lhuis
1,1260,Lochieu
1,1680,Lompnas
1,1260,Lompnieu
1,1360,Loyettes
1,1090,Lurcy
1,1300,Magnieu
1,1430,Maillat
1,1340,Malafretaz
1,1560,Mantenay-Montlin
1,1570,Manziat
1,1851,Marboz
1,1680,Marchamp
1,1300,Marignieu
1,1240,Marlieux
1,1340,Marsonnas
1,1100,Martignat
1,1600,Massieux
1,1300,Massignieu-de-Rives
1,1580,Matafelon-Granges
1,1370,Meillonnas
1,1450,Mérignat
1,1480,Messimy-sur-Saône
1,1800,Meximieux
1,1250,Bohas-Meyriat-Rignat
1,1660,Mézériat
1,1170,Mijoux
1,1410,Mijoux
1,1390,Mionnay
1,1700,Miribel
1,1600,Misérieux
1,1140,Mogneneins
1,1250,Montagnat
1,1470,Montagnieu
1,1200,Montanges
1,1090,Montceaux
1,1310,Montcet
1,1800,Le Montellier
1,1390,Monthieux
1,1120,Montluel
1,1090,Montmerle-sur-Saône
1,1310,Montracol
1,1460,Montréal-la-Cluse
1,1340,Montrevel-en-Bresse
1,1460,Nurieux-Volognat
1,1300,Murs-et-Gélignieux
1,1130,Nantua
1,1460,Nantua
1,1400,Neuville-les-Dames
1,1160,Neuville-sur-Ain
1,1130,Les Neyrolles
1,1700,Neyron
1,1120,Niévroz
1,1230,Nivollet-Montgriffon
1,1230,Oncieu
1,1510,Ordonnaz
1,1210,Ornex
1,1430,Outriaz
1,1100,Oyonnax
1,1190,Ozan
1,1600,Parcieux
1,1300,Parves et Nattages
1,1630,Péron
1,1960,Péronnas
1,1800,Pérouges
1,1540,Perrex
1,1430,Peyriat
1,1300,Peyrieu
1,1140,Peyzieux-sur-Saône
1,1270,Pirajoux
1,1120,Pizay
1,1130,Plagne
1,1330,Le Plantay
1,1310,Polliat
1,1350,Pollieu
1,1450,Poncin
1,1160,Pont-d'Ain
1,1190,Pont-de-Vaux
1,1290,Pont-de-Veyle
1,1460,Port
1,1550,Pougny
1,1250,Pouillat
1,1300,Prémeyzel
1,1110,Prémillieu
1,1280,Prévessin-Moëns
1,1160,Priay
1,1250,Ramasse
1,1390,Rancé
1,1990,Relevant
1,1750,Replonges
1,1250,Revonnas
1,1600,Reyrieux
1,1190,Reyssouze
1,1800,Rignieux-le-Franc
1,1400,Romans
1,1510,Rossillon
1,1260,Ruffieu
1,1450,Saint-Alban
1,1380,Saint-André-de-Bâgé
1,1390,Saint-André-de-Corcy
1,1290,Saint-André-d'Huiriat
1,1240,Saint-André-le-Bouchoux
1,1960,Saint-André-sur-Vieux-Jonc
1,1190,Saint-Bénigne
1,1300,Groslée-Saint-Benoit
1,1680,Groslée-Saint-Benoit
1,1600,Saint-Bernard
1,1300,Saint-Champ
1,1120,Sainte-Croix
1,1380,Saint-Cyr-sur-Menthon
1,1000,Saint-Denis-lès-Bourg
1,1500,Saint-Denis-en-Bugey
1,1340,Saint-Didier-d'Aussiat
